GBIF_ID,Institution_ID,Dataset_ID,Year_rec,Year_date,Mon_date,Day_date,Lat_dec,Lon_dec,Scientific_name,Phylum,Class,Order,Family,Subfamily,Genus,Depth,Sci_name_verbatim
90258343,,,,9999,99,99,15,90,"Pyrosoma Péron, 1804",Chordata,Thaliacea,Pyrosomatida,Pyrosomatidae,,Pyrosoma,,"Pyrosoma acherniosum"
90257478,,,,9999,99,99,15,90,"Pyrosoma atlanticum Péron, 1804",Chordata,Thaliacea,Pyrosomatida,Pyrosomatidae,,Pyrosoma,,"Pyrosoma atlanticum"
90257476,,,,9999,99,99,8.5,79,"Pyrosoma ovatum Neumann, 1909",Chordata,Thaliacea,Pyrosomatida,Pyrosomatidae,,Pyrosoma,,"Pyrosoma ovatum"
90257474,,,,9999,99,99,8.5,79,"Pyrosoma aherniosum Seeliger, 1895",Chordata,Thaliacea,Pyrosomatida,Pyrosomatidae,,Pyrosoma,,"Pyrosoma aherniosum"
899692630,,,2010,2010,4,20,25.755633,-80.048942,"Pyrosoma Péron, 1804",Chordata,Thaliacea,Pyrosomatida,Pyrosomatidae,,Pyrosoma,,"Pyrosoma"
899692593,,,2010,2010,4,20,25.753565,-80.050352,"Pyrosoma Péron, 1804",Chordata,Thaliacea,Pyrosomatida,Pyrosomatidae,,Pyrosoma,,"Pyrosoma"
899692583,,,2010,2010,4,20,25.746895,-80.04928,"Pyrosoma Péron, 1804",Chordata,Thaliacea,Pyrosomatida,Pyrosomatidae,,Pyrosoma,,"Pyrosoma"
899690969,,,1999,1999,5,14,NaN,NaN,"Pyrosoma Péron, 1804",Chordata,Thaliacea,Pyrosomatida,Pyrosomatidae,,Pyrosoma,,"Pyrosoma"
899690947,,,1990,1990,6,21,NaN,NaN,"Pyrosoma Péron, 1804",Chordata,Thaliacea,Pyrosomatida,Pyrosomatidae,,Pyrosoma,,"Pyrosoma"
899562264,,,1973,1973,4,29,24.366667,-84.833333,"Pyrosoma giganteum Lesueur, 1815",Chordata,Thaliacea,Pyrosomatida,Pyrosomatidae,,Pyrosoma,,"Pyrosoma gigantea"
899547229,,,2006,2006,5,10,24.4675,-83.3475,"Pyrosoma Péron, 1804",Chordata,Thaliacea,Pyrosomatida,Pyrosomatidae,,Pyrosoma,,"Pyrosoma"
899500226,,,1973,1973,5,19,28.133333,-84.983333,"Pyrosoma atlanticum Péron, 1804",Chordata,Thaliacea,Pyrosomatida,Pyrosomatidae,,Pyrosoma,,"Pyrosoma atlanticum"
899496212,,,2003,2003,4,24,24.458933,-83.516617,"Pyrosoma atlanticum Péron, 1804",Chordata,Thaliacea,Pyrosomatida,Pyrosomatidae,,Pyrosoma,,"Pyrosoma atlanticum"
899152713,,,2000,2000,5,12,24.342433,-82.619067,"Pyrosoma atlanticum Péron, 1804",Chordata,Thaliacea,Pyrosomatida,Pyrosomatidae,,Pyrosoma,,"Pyrosoma atlanticum"
899152455,,,2003,2003,1,15,NaN,NaN,"Pyrosoma Péron, 1804",Chordata,Thaliacea,Pyrosomatida,Pyrosomatidae,,Pyrosoma,,"Pyrosoma"
899152420,,,2000,2000,5,11,24.3074,-82.626367,"Pyrosoma atlanticum Péron, 1804",Chordata,Thaliacea,Pyrosomatida,Pyrosomatidae,,Pyrosoma,,"Pyrosoma atlanticum"
893308247,http://grscicoll.org/institution/california-academy-sciences,,1969,1969,10,7,24.55,-88.45,"Pyrosoma atlanticum Péron, 1804",Chordata,Thaliacea,Pyrosomatida,Pyrosomatidae,,Pyrosoma,600.0,"Pyrosoma atlanticum"
893308222,http://grscicoll.org/institution/california-academy-sciences,,1973,1973,3,2,26.85,-94.783333,"Pyrosoma atlanticum Péron, 1804",Chordata,Thaliacea,Pyrosomatida,Pyrosomatidae,,Pyrosoma,480.0,"Pyrosoma atlanticum"
812197920,,1,,9999,99,99,NaN,NaN,"Pyrosoma Péron, 1804",Chordata,Thaliacea,Pyrosomatida,Pyrosomatidae,,Pyrosoma,,"Pyrosoma"
775039358,,,1946,1946,1,1,-43.018613,147.921032,"Pyrosoma Péron, 1804",Chordata,Thaliacea,Pyrosomatida,Pyrosomatidae,,Pyrosoma,,"Pyrosoma"
775039353,,,1946,1946,1,1,-43.178615,147.851036,"Pyrosoma atlanticum Péron, 1804",Chordata,Thaliacea,Pyrosomatida,Pyrosomatidae,,Pyrosoma,,"Pyrosoma atlanticum"
