gbifID	abstract	accessRights	accrualMethod	accrualPeriodicity	accrualPolicy	alternative	audience	available	bibliographicCitation	conformsTo	contributor	coverage	created	creator	date	dateAccepted	dateCopyrighted	dateSubmitted	description	educationLevel	extent	format	hasFormat	hasPart	hasVersion	identifier	instructionalMethod	isFormatOf	isPartOf	isReferencedBy	isReplacedBy	isRequiredBy	isVersionOf	issued	language	license	mediator	medium	modified	provenance	publisher	references	relation	replaces	requires	rights	rightsHolder	source	spatial	subject	tableOfContents	temporal	title	type	valid	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	recordedByID	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	behavior	establishmentMeans	degreeOfEstablishment	pathway	georeferenceVerificationStatus	occurrenceStatus	preparations	disposition	associatedOccurrences	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOrganisms	previousIdentifications	organismRemarks	materialSampleID	eventID	parentEventID	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	sampleSizeValue	sampleSizeUnit	samplingEffort	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	countryCode	stateProvince	county	municipality	locality	verbatimLocality	verbatimElevation	verticalDatum	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	verbatimIdentification	identificationQualifier	typeStatus	identifiedBy	identifiedByID	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	family	subfamily	genus	genericName	subgenus	infragenericEpithet	specificEpithet	infraspecificEpithet	cultivarEpithet	taxonRank	verbatimTaxonRank	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks	datasetKey	publishingCountry	lastInterpreted	elevation	elevationAccuracy	depth	depthAccuracy	distanceAboveSurface	distanceAboveSurfaceAccuracy	distanceFromCentroidInMeters	issue	mediaType	hasCoordinate	hasGeospatialIssues	taxonKey	acceptedTaxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	subgenusKey	speciesKey	species	acceptedScientificName	verbatimScientificName	typifiedName	protocol	lastParsed	lastCrawled	repatriated	relativeOrganismQuantity	level0Gid	level0Name	level1Gid	level1Name	level2Gid	level2Name	level3Gid	level3Name	iucnRedListCategory	eventType
90258344																																				CC_BY_4_0																							NCL	INDOBIS-DATASET1			OCCURRENCE					103915															PRESENT																																									IN				Bay of Bengal									15.0	90.0																																																		Pyrosoma verticillatum Neumann, 1909								Animalia	Chordata	Thaliacea	Pyrosomatida	Pyrosomatidae		Pyrosomella	Pyrosoma			verticillatum			SPECIES				SYNONYM			8598edb6-f762-11e1-a439-00145eb45e9a	IN	2023-03-27T18:45:13.500Z								GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES;BASIS_OF_RECORD_INVALID		true	false	8395144	2498554	1	44	207	540	7346	2498553		2498554	Pyrosomella verticillata	Pyrosomella verticillata (Neumann, 1909)	Pyrosoma verticillatum		DWC_ARCHIVE	2023-03-27T18:45:13.500Z	2023-03-27T18:35:57.630Z	false										NE	
3818459805																										MW203944										CC_BY_4_0						https://www.ebi.ac.uk/ena/browser/view/MW203944																					PRESERVED_SPECIMEN				MW203944	USNM:IZ:1450062															PRESENT					https://www.ebi.ac.uk/ena/browser/api/embl/MW203944			Pyrosomella sp. USNM IZ 1450062 voucher USNM:IZ:1450062 small subunit ribosomal RNA gene, partial sequence.											2017-08-14T00:00:00				2017	8	14																ZZ				Gulf Stream off Fort Pierce									27.42	-79.940002																																				Osborn, Karen J., (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)						ASV:4db6ecaa2c40ad39635ba76a52a24554							https://www.ebi.ac.uk/ena/browser/view/Taxon:2783247	Pyrosomella van Soest, 1979								Animalia	Chordata	Thaliacea	Pyrosomatida	Pyrosomatidae		Pyrosomella	Pyrosomella						GENUS				ACCEPTED			d8cd16ba-bb74-4420-821e-083f2bac17c2	GB	2023-03-25T12:30:10.206Z								COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_COORDINATE_MISMATCH;TAXON_MATCH_HIGHERRANK		true	true	2498553	2498553	1	44	207	540	7346	2498553				Pyrosomella van Soest, 1979	Pyrosomella sp. USNM IZ 1450062		EML	2023-03-25T12:30:10.206Z	2023-03-25T12:08:04.853Z	true											
3818446547																										MW204033										CC_BY_4_0						https://www.ebi.ac.uk/ena/browser/view/MW204033																					PRESERVED_SPECIMEN				MW204033	USNM:IZ:1450280															PRESENT					https://www.ebi.ac.uk/ena/browser/api/embl/MW204033			Pyrosomella sp. USNM IZ 1450280 voucher USNM:IZ:1450280 small subunit ribosomal RNA gene, partial sequence.											2017-08-14T00:00:00				2017	8	14																ZZ				Gulf Stream off Fort Pierce									27.42	-79.940002																																				Osborn, Karen J., (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)						ASV:4db6ecaa2c40ad39635ba76a52a24554							https://www.ebi.ac.uk/ena/browser/view/Taxon:2783319	Pyrosomella van Soest, 1979								Animalia	Chordata	Thaliacea	Pyrosomatida	Pyrosomatidae		Pyrosomella	Pyrosomella						GENUS				ACCEPTED			d8cd16ba-bb74-4420-821e-083f2bac17c2	GB	2023-03-25T12:30:10.221Z								COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_COORDINATE_MISMATCH;TAXON_MATCH_HIGHERRANK		true	true	2498553	2498553	1	44	207	540	7346	2498553				Pyrosomella van Soest, 1979	Pyrosomella sp. USNM IZ 1450280		EML	2023-03-25T12:30:10.221Z	2023-03-25T12:08:04.853Z	true											
3346524671																										FM244863										CC_BY_4_0						https://www.ebi.ac.uk/ena/browser/view/FM244863																					MATERIAL_SAMPLE				FM244863			Russell R. Hopcroft													PRESENT					https://www.ebi.ac.uk/ena/browser/api/embl/FM244863			Pyrosomella verticillata partial 18S rRNA gene											2006-11-01T00:00:00				2006	11	1												OCEANIA				AU				NW																																														Russell R. Hopcroft						ASV:d00d1fd3698386aab1a75e4f20ddc699							https://www.ebi.ac.uk/ena/browser/view/Taxon:569441	Pyrosomella verticillata (Neumann, 1909)								Animalia	Chordata	Thaliacea	Pyrosomatida	Pyrosomatidae		Pyrosomella	Pyrosomella			verticillata			SPECIES				ACCEPTED			d8cd16ba-bb74-4420-821e-083f2bac17c2	GB	2023-03-25T12:29:42.393Z								CONTINENT_DERIVED_FROM_COUNTRY		false	false	2498554	2498554	1	44	207	540	7346	2498553		2498554	Pyrosomella verticillata	Pyrosomella verticillata (Neumann, 1909)	Pyrosomella verticillata		EML	2023-03-25T12:29:42.393Z	2023-03-25T12:08:04.853Z	true										NE	
3041538331																										http://n2t.net/ark:/65665/365aad1d0-8c30-4646-b465-210d887ed2ba										CC0_1_0			2021-10-14T08:53:00Z															PhysicalObject		http://grbio.org/cool/142r-0w94	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6		USNM	IZ	NMNH Material Samples (USNM)		MATERIAL_SAMPLE				http://n2t.net/ark:/65665/365aad1d0-8c30-4646-b465-210d887ed2ba	USNM 1450062		M. Boyle		1											PRESENT		in collection			MW203944			Originally cataloged as an image record because field notes indicated there was a photovoucher for the specimen. When the images were cataloged in early 2020, no photos were found for this specimen so the record was changed to a Genetic Sample (DNA) with no voucher.							AN7HD35				2017-08-14T00:00:00		226	226	2017	8	14											North Atlantic Ocean, United States, Florida		North Atlantic Ocean			US	Florida			Gulf Stream off Fort Pierce									27.4224	-79.9359																																				Osborn, Karen J., (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)														Pyrosomella van Soest, 1979							Animalia, Chordata, Urochordata, Thaliacea, Pyrosomatida, Pyrosomatidae	Animalia	Chordata	Thaliacea	Pyrosomatida	Pyrosomatidae		Pyrosomella	Pyrosomella						GENUS				ACCEPTED			26098c25-8f7f-4c71-97ac-1d3db181c65e	US	2023-03-01T12:55:10.774Z			49.0	49.0				GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_INVALID		true	false	2498553	2498553	1	44	207	540	7346	2498553				Pyrosomella van Soest, 1979	Pyrosomella sp.		EML	2023-03-01T12:55:10.774Z	2023-03-01T12:40:25.895Z	false											
3028137155																										http://n2t.net/ark:/65665/3fee9a2cd-9319-4e06-9a44-d83b8af458e5										CC0_1_0			2021-10-14T08:52:00Z															PhysicalObject		http://grbio.org/cool/142r-0w94	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6		USNM	IZ	NMNH Material Samples (USNM)		MATERIAL_SAMPLE				http://n2t.net/ark:/65665/3fee9a2cd-9319-4e06-9a44-d83b8af458e5	USNM 1450280		M. Boyle		1											PRESENT		in collection			MW204033										AN7HD27				2017-08-14T00:00:00		226	226	2017	8	14											North Atlantic Ocean, United States, Florida		North Atlantic Ocean			US	Florida			Gulf Stream off Fort Pierce									27.4224	-79.9359																																				Osborn, Karen J., (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)														Pyrosomella van Soest, 1979							Animalia, Chordata, Urochordata, Thaliacea, Pyrosomatida, Pyrosomatidae	Animalia	Chordata	Thaliacea	Pyrosomatida	Pyrosomatidae		Pyrosomella	Pyrosomella						GENUS				ACCEPTED			26098c25-8f7f-4c71-97ac-1d3db181c65e	US	2023-03-01T12:55:14.588Z			49.0	49.0				GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_INVALID		true	false	2498553	2498553	1	44	207	540	7346	2498553				Pyrosomella van Soest, 1979	Pyrosomella sp.		EML	2023-03-01T12:55:14.588Z	2023-03-01T12:40:25.895Z	false											
2432705769																										ZMA.TU.5234@CRS										CC0_1_0			2018-03-15T00:00:00Z								Naturalis Biodiversity Center									Naturalis Biodiversity Center				Tunicata			PRESERVED_SPECIMEN				https://data.biodiversitydata.nl/naturalis/specimen/ZMA.TU.5234	ZMA.TU.5234															PRESENT	alcohol																																																																																																								Pyrosomella verticillata (Neumann, 1909)							Animalia|Thaliacea|Pyrosomatida|Pyrosomatidae	Animalia	Chordata	Thaliacea	Pyrosomatida	Pyrosomatidae		Pyrosomella	Pyrosomella			verticillata			SPECIES			ICZN	ACCEPTED			9a025855-803d-4fa7-8417-ac7142544553	NL	2023-03-26T02:38:56.914Z								INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH		false	false	2498554	2498554	1	44	207	540	7346	2498553		2498554	Pyrosomella verticillata	Pyrosomella verticillata (Neumann, 1909)	Pyrosomella verticillata (Neumann, 1909)		DWC_ARCHIVE	2023-03-26T02:38:56.914Z	2023-03-26T02:37:55.620Z											NE	
2432699776																										ZMA.TU.5235@CRS										CC0_1_0			2018-03-15T00:00:00Z								Naturalis Biodiversity Center									Naturalis Biodiversity Center				Tunicata			PRESERVED_SPECIMEN				https://data.biodiversitydata.nl/naturalis/specimen/ZMA.TU.5235	ZMA.TU.5235															PRESENT	alcohol																																																																																																								Pyrosomella verticillata (Neumann, 1909)							Animalia|Thaliacea|Pyrosomatida|Pyrosomatidae	Animalia	Chordata	Thaliacea	Pyrosomatida	Pyrosomatidae		Pyrosomella	Pyrosomella			verticillata			SPECIES			ICZN	ACCEPTED			9a025855-803d-4fa7-8417-ac7142544553	NL	2023-03-26T02:38:56.499Z								INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH		false	false	2498554	2498554	1	44	207	540	7346	2498553		2498554	Pyrosomella verticillata	Pyrosomella verticillata (Neumann, 1909)	Pyrosomella verticillata (Neumann, 1909)		DWC_ARCHIVE	2023-03-26T02:38:56.499Z	2023-03-26T02:37:55.620Z											NE	
2432698033																										RMNH.UROCH.682@CRS										CC0_1_0			2018-03-15T00:00:00Z								Naturalis Biodiversity Center									Naturalis Biodiversity Center				Tunicata			PRESERVED_SPECIMEN				https://data.biodiversitydata.nl/naturalis/specimen/RMNH.UROCH.682	RMNH.UROCH.682		Müller													PRESENT	alcohol																																																																																																								Pyrosomella verticillata (Neumann, 1909)							Animalia|Thaliacea|Pyrosomatida|Pyrosomatidae	Animalia	Chordata	Thaliacea	Pyrosomatida	Pyrosomatidae		Pyrosomella	Pyrosomella			verticillata			SPECIES			ICZN	ACCEPTED			9a025855-803d-4fa7-8417-ac7142544553	NL	2023-03-26T02:38:57.361Z								INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH		false	false	2498554	2498554	1	44	207	540	7346	2498553		2498554	Pyrosomella verticillata	Pyrosomella verticillata (Neumann, 1909)	Pyrosomella verticillata (Neumann, 1909)		DWC_ARCHIVE	2023-03-26T02:38:57.361Z	2023-03-26T02:37:55.620Z											NE	
2248407575									Ministry of the Environment Govermment of Japan																	urn:catalog:JODC:J-DOSS:8286									en	CC_BY_NC_4_0			2018-12-26T06:00:07Z			http://www.godac.jamstec.go.jp/bismal/record/JODC/J-DOSS/8286																	JODC	J-DOSS	JODC Dataset		PRESERVED_SPECIMEN				urn:catalog:JODC:J-DOSS:8286	8286															PRESENT								Observed Individual Count : more than 1/m3										B4	1979-10-23T00:00:00		296	296	1979	10	23			Net										North Pacific Ocean			JP								0					34.383333	141.5							"GEOGCS[""GCS_WGS_1984"",DATUM[""D_WGS_1984"",SPHEROID[""WGS_1984"",6378137,298.257223563]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.0174532925199433]]"																																				urn:lsid:marinespecies.org:taxname:266847							Pyrosomella verticillata (Neumann, 1909)								Animalia	Chordata	Thaliacea	Pyrosomatida	Pyrosomatidae		Pyrosomella	Pyrosomella			verticillata			SPECIES				ACCEPTED			edeee57f-9e48-4202-b387-9cb5224e7b1b	JP	2023-01-25T00:24:51.593Z			0.0	0.0				GEODETIC_DATUM_ASSUMED_WGS84;FOOTPRINT_SRS_INVALID;COUNTRY_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE		true	false	2498554	2498554	1	44	207	540	7346	2498553		2498554	Pyrosomella verticillata	Pyrosomella verticillata (Neumann, 1909)	Pyrosomella verticillata		EML	2023-01-25T00:24:51.593Z	2023-01-06T18:47:33.570Z	false										NE	
