GBIF_ID,Institution_ID,Dataset_ID,Year_rec,Year_date,Mon_date,Day_date,Lat_dec,Lon_dec,Scientific_name,Phylum,Class,Order,Family,Subfamily,Genus,Depth,Sci_name_verbatim
90258348,,,NaN,9999,99,99,15,90,"Pyrosoma spinosum Herdman, 1888",Chordata,Thaliacea,Pyrosomatida,Pyrosomatidae,NaN,Pyrostremma,NaN,"Pyrosoma spinosum"
90252688,,,NaN,9999,99,99,8.5,79,"Propyrosoma Ivanova-Kazas, 1962",Chordata,Thaliacea,Pyrosomatida,Pyrosomatidae,NaN,Pyrostremma,NaN,"Propyrosoma indicus"
90252687,,,NaN,9999,99,99,8.5,79,"Propyrosoma spinosum (Herdman, 1888)",Chordata,Thaliacea,Pyrosomatida,Pyrosomatidae,NaN,Pyrostremma,NaN,"Propyrosoma spinosum"
857015581,,https://ipt.diveboard.com/resource.do?r=diveboard-occurrences,2013,2013,10,10,17.6326,-88.0436,"Pyrostremma spinosum (Herdman, 1888)",Chordata,Thaliacea,Pyrosomatida,Pyrosomatidae,NaN,Pyrostremma,11.915,"Pyrostremma spinosum (Herdman, 1888)"
775039316,,,1989,1989,1,1,-43.018613,147.921032,"Pyrostremma spinosum (Herdman, 1888)",Chordata,Thaliacea,Pyrosomatida,Pyrosomatidae,NaN,Pyrostremma,NaN,"Pyrostremma spinosum"
3860508235,,,2016,2016,7,4,38.516829,-28.627127,"Pyrostremma spinosum (Herdman, 1888)",Chordata,Thaliacea,Pyrosomatida,Pyrosomatidae,NaN,Pyrostremma,NaN,"Pyrostremma spinosum"
3849181272,,C3DF8966-A775-654C-E053-5514A8C0FA8B,NaN,9999,99,99,16.16611,-61.78972,"Pyrostremma spinosum (Herdman, 1888)",Chordata,Thaliacea,Pyrosomatida,Pyrosomatidae,NaN,Pyrostremma,46,"Pyrostremma spinosum (Herdman, 1888)"
3456264104,,,2017,2017,12,28,28.917594,-13.665929,"Pyrostremma spinosum (Herdman, 1888)",Chordata,Thaliacea,Pyrosomatida,Pyrosomatidae,NaN,Pyrostremma,NaN,"Pyrostremma spinosum"
3407953969,,,2020,2020,12,18,28.918208,-13.664598,"Pyrostremma spinosum (Herdman, 1888)",Chordata,Thaliacea,Pyrosomatida,Pyrosomatidae,NaN,Pyrostremma,NaN,"Pyrostremma spinosum"
3400752312,,,2017,2017,3,1,NaN,NaN,"Pyrostremma spinosum (Herdman, 1888)",Chordata,Thaliacea,Pyrosomatida,Pyrosomatidae,NaN,Pyrostremma,NaN,"Pyrostremma spinosum (Herdman, 1888)"
3351530024,,,NaN,9999,99,99,NaN,NaN,"Pyrostremma spinosum (Herdman, 1888)",Chordata,Thaliacea,Pyrosomatida,Pyrosomatidae,NaN,Pyrostremma,NaN,"Pyrostremma spinosum"
3333163302,,,2017,2017,12,30,36.003816,-5.605157,"Pyrostremma spinosum (Herdman, 1888)",Chordata,Thaliacea,Pyrosomatida,Pyrosomatidae,NaN,Pyrostremma,NaN,"Pyrostremma spinosum"
3032920721,,,NaN,9999,99,99,NaN,NaN,"Pyrostremma spinosum (Herdman, 1888)",Chordata,Thaliacea,Pyrosomatida,Pyrosomatidae,NaN,Pyrostremma,NaN,"Pyrostremma spinosum"
2596566334,,,NaN,9999,99,99,-33.42485,130.728,"Pyrostremma spinosum (Herdman, 1888)",Chordata,Thaliacea,Pyrosomatida,Pyrosomatidae,NaN,Pyrostremma,400,"Pyrostremma spinosum"
2540873684,,,2019,2019,12,23,36.003949,-5.605467,"Pyrostremma spinosum (Herdman, 1888)",Chordata,Thaliacea,Pyrosomatida,Pyrosomatidae,NaN,Pyrostremma,NaN,"Pyrostremma spinosum"
2432706065,Naturalis Biodiversity Center,,NaN,9999,99,99,NaN,NaN,"Pyrosoma spinosum Herdman, 1888",Chordata,Thaliacea,Pyrosomatida,Pyrosomatidae,NaN,Pyrostremma,NaN,"Pyrosoma spinosum"
2432704778,Naturalis Biodiversity Center,,NaN,9999,99,99,NaN,NaN,"Pyrostremma spinosum (Herdman, 1888)",Chordata,Thaliacea,Pyrosomatida,Pyrosomatidae,NaN,Pyrostremma,NaN,"Pyrostremma spinosum (Herdman, 1888)"
2432702046,Naturalis Biodiversity Center,,1971,1971,3,10,NaN,NaN,"Pyrosoma agassizi Ritter & Byxbee, 1905",Chordata,Thaliacea,Pyrosomatida,Pyrosomatidae,NaN,Pyrostremma,NaN,"Pyrosoma agassizi Nueman."
2432701570,Naturalis Biodiversity Center,,1899,1899,9,12,-3.3333,127.3816,"Pyrostremma agassizi (Ritter & Byxbee, 1905)",Chordata,Thaliacea,Pyrosomatida,Pyrosomatidae,NaN,Pyrostremma,NaN,"Pyrostremma agassizi (Ritter & Bixbee, 1905)"
2432698062,Naturalis Biodiversity Center,,1970,1970,8,23,NaN,NaN,"Pyrosoma agassizi Ritter & Byxbee, 1905",Chordata,Thaliacea,Pyrosomatida,Pyrosomatidae,NaN,Pyrostremma,NaN,"Pyrosoma agassizi"
2274731736,urn:lsid:biocol.org:col:34902,,NaN,9999,99,99,NaN,NaN,"Pyrosoma spinosum Herdman, 1888",Chordata,Thaliacea,Pyrosomatida,Pyrosomatidae,NaN,Pyrostremma,NaN,"Pyrosoma spinosum"
2265761162,,,1999,1999,6,10,34.9982,139.2305,"Pyrostremma agassizi (Ritter & Byxbee, 1905)",Chordata,Thaliacea,Pyrosomatida,Pyrosomatidae,NaN,Pyrostremma,490,"Pyrostremma agassizi"
2265760455,,,1999,1999,6,10,34.9998,139.2281,"Pyrostremma agassizi (Ritter & Byxbee, 1905)",Chordata,Thaliacea,Pyrosomatida,Pyrosomatidae,NaN,Pyrostremma,1190,"Pyrostremma agassizi"
2265760102,,,1997,1997,6,9,28.571819,140.642139,"Pyrostremma agassizi (Ritter & Byxbee, 1905)",Chordata,Thaliacea,Pyrosomatida,Pyrosomatidae,NaN,Pyrostremma,943,"Pyrostremma agassizi"
2265759969,,,1997,1997,5,21,35.011604,139.363526,"Pyrostremma agassizi (Ritter & Byxbee, 1905)",Chordata,Thaliacea,Pyrosomatida,Pyrosomatidae,NaN,Pyrostremma,928,"Pyrostremma agassizi"
208018580,,,NaN,9999,99,99,6.401667,49.526667,"Pyrosoma spinosum Herdman, 1888",Chordata,Thaliacea,Pyrosomatida,Pyrosomatidae,NaN,Pyrostremma,NaN,"Pyrosoma spinosum Herdman 1888"
208018570,,,NaN,9999,99,99,-10.136667,97.248333,"Pyrosoma agassizi Ritter & Byxbee, 1905",Chordata,Thaliacea,Pyrosomatida,Pyrosomatidae,NaN,Pyrostremma,NaN,"Pyrosoma agassizi Ritter &  Byxbee 1905"
1949976482,,,2011,2011,9,16,-35.459551,174.734802,"Pyrostremma spinosum (Herdman, 1888)",Chordata,Thaliacea,Pyrosomatida,Pyrosomatidae,NaN,Pyrostremma,NaN,"Pyrostremma spinosum"
1322687578,urn:lsid:biocol.org:col:34871,,1908,1908,2,3,10.5792,121.792,"Pyrosoma agassizi Ritter & Byxbee, 1905",Chordata,Thaliacea,Pyrosomatida,Pyrosomatidae,NaN,Pyrostremma,1357,"Pyrosoma agassizi"
