gbifID	abstract	accessRights	accrualMethod	accrualPeriodicity	accrualPolicy	alternative	audience	available	bibliographicCitation	conformsTo	contributor	coverage	created	creator	date	dateAccepted	dateCopyrighted	dateSubmitted	description	educationLevel	extent	format	hasFormat	hasPart	hasVersion	identifier	instructionalMethod	isFormatOf	isPartOf	isReferencedBy	isReplacedBy	isRequiredBy	isVersionOf	issued	language	license	mediator	medium	modified	provenance	publisher	references	relation	replaces	requires	rights	rightsHolder	source	spatial	subject	tableOfContents	temporal	title	type	valid	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	recordedByID	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	behavior	establishmentMeans	degreeOfEstablishment	pathway	georeferenceVerificationStatus	occurrenceStatus	preparations	disposition	associatedOccurrences	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOrganisms	previousIdentifications	organismRemarks	materialSampleID	eventID	parentEventID	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	sampleSizeValue	sampleSizeUnit	samplingEffort	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	countryCode	stateProvince	county	municipality	locality	verbatimLocality	verbatimElevation	verticalDatum	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	verbatimIdentification	identificationQualifier	typeStatus	identifiedBy	identifiedByID	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	family	subfamily	genus	genericName	subgenus	infragenericEpithet	specificEpithet	infraspecificEpithet	cultivarEpithet	taxonRank	verbatimTaxonRank	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks	datasetKey	publishingCountry	lastInterpreted	elevation	elevationAccuracy	depth	depthAccuracy	distanceAboveSurface	distanceAboveSurfaceAccuracy	distanceFromCentroidInMeters	issue	mediaType	hasCoordinate	hasGeospatialIssues	taxonKey	acceptedTaxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	subgenusKey	speciesKey	species	acceptedScientificName	verbatimScientificName	typifiedName	protocol	lastParsed	lastCrawled	repatriated	relativeOrganismQuantity	level0Gid	level0Name	level1Gid	level1Name	level2Gid	level2Name	level3Gid	level3Name	iucnRedListCategory	eventType
90258348																																				CC_BY_4_0																							NCL	INDOBIS-DATASET1			OCCURRENCE					103916															PRESENT																																									IN				Bay of Bengal									15.0	90.0																																																		Pyrosoma spinosum Herdman, 1888								Animalia	Chordata	Thaliacea	Pyrosomatida	Pyrosomatidae		Pyrostremma	Pyrosoma			spinosum			SPECIES				SYNONYM			8598edb6-f762-11e1-a439-00145eb45e9a	IN	2023-03-27T18:45:13.503Z								GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES;BASIS_OF_RECORD_INVALID		true	false	5232530	2498550	1	44	207	540	7346	2498549		2498550	Pyrostremma spinosum	Pyrostremma spinosum (Herdman, 1888)	Pyrosoma spinosum		DWC_ARCHIVE	2023-03-27T18:45:13.503Z	2023-03-27T18:35:57.630Z	false										NE	
90252688																																				CC_BY_4_0																							NCL	INDOBIS-DATASET1			OCCURRENCE					62333															PRESENT																																									IN				Gulf of Mannar									8.5	79.0																																																		Propyrosoma Ivanova-Kazas, 1962								Animalia	Chordata	Thaliacea	Pyrosomatida	Pyrosomatidae		Pyrostremma	Propyrosoma						GENUS				SYNONYM			8598edb6-f762-11e1-a439-00145eb45e9a	IN	2023-03-27T18:45:11.696Z								GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES;TAXON_MATCH_HIGHERRANK;BASIS_OF_RECORD_INVALID		true	false	4842917	2498549	1	44	207	540	7346	2498549				Pyrostremma Garstang, 1929	Propyrosoma indicus		DWC_ARCHIVE	2023-03-27T18:45:11.696Z	2023-03-27T18:35:57.630Z	false											
90252687																																				CC_BY_4_0																							NCL	INDOBIS-DATASET1			OCCURRENCE					62331															PRESENT																																									IN				Gulf of Mannar									8.5	79.0																																																		Propyrosoma spinosum (Herdman, 1888)								Animalia	Chordata	Thaliacea	Pyrosomatida	Pyrosomatidae		Pyrostremma	Propyrosoma			spinosum			SPECIES				SYNONYM			8598edb6-f762-11e1-a439-00145eb45e9a	IN	2023-03-27T18:45:11.701Z								GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES;BASIS_OF_RECORD_INVALID		true	false	7939923	2498550	1	44	207	540	7346	2498549		2498550	Pyrostremma spinosum	Pyrostremma spinosum (Herdman, 1888)	Propyrosoma spinosum		DWC_ARCHIVE	2023-03-27T18:45:11.701Z	2023-03-27T18:35:57.630Z	false										NE	
857015581																										diveboard:98919_510648_0										CC_BY_NC_4_0			2015-04-29T13:41:20Z			https://www.diveboard.com/mono/D1ybN8l				http://creativecommons.org/publicdomain/zero/1.0/	Diveboard							Event				https://ipt.diveboard.com/resource.do?r=diveboard-occurrences	Diveboard	Diveboard	Diveboard - Scuba diving citizen science	Diveboard	HUMAN_OBSERVATION				diveboard:98919_510648_0	diveboard:98919_510648_0		Elmonoeze													PRESENT								Non validated citizen science record											2013-10-10T16:51:00				2013	10	10			citizen science scuba dive observation									NORTH_AMERICA	Caribbean Sea			BZ				Silver Cave	Silver Cave, Long Caye								17.6326	-88.0436	100.0											Google Maps																								Elmonoeze		2013-10-10T00:00:00				http://eol.org/pages/510648								Pyrostremma spinosum (Herdman, 1888)				EOL				Animalia	Chordata	Thaliacea	Pyrosomatida	Pyrosomatidae		Pyrostremma	Pyrostremma			spinosum			SPECIES				ACCEPTED			66f6192f-6cc0-45fd-a2d1-e76f5ae3eab2	FR	2023-01-24T17:43:36.118Z	0.0	0.0	11.915	11.915				COORDINATE_REPROJECTION_SUSPICIOUS;CONTINENT_DERIVED_FROM_COORDINATES		true	false	2498550	2498550	1	44	207	540	7346	2498549		2498550	Pyrostremma spinosum	Pyrostremma spinosum (Herdman, 1888)	Pyrostremma spinosum (Herdman, 1888)		EML	2023-01-24T17:43:36.118Z	2023-01-08T01:29:53.090Z	true										NE	
775039316																										da1f8275-d303-48ca-9950-adcfe4c3efce										CC_BY_4_0																							TMAG	Urochordata collection			PRESERVED_SPECIMEN			{dcterms:modified:2012-11-06}	da1f8275-d303-48ca-9950-adcfe4c3efce	D2049		Wisby, S.													PRESENT																			1989-01-01T00:00:00				1989														OCEANIA				AU	Tasmania			Eaglehawk Neck									-43.018613	147.921032	10000.0																																																https://biodiversity.org.au/afd/taxa/fbc62d13-b194-4a28-bab7-7c02a5c89c95	Pyrostremma spinosum (Herdman, 1888)								Animalia	Chordata	Thaliacea	Pyrosomatida	Pyrosomatidae		Pyrostremma	Pyrostremma			spinosum			SPECIES		Pyrosome		ACCEPTED			4ffe66a0-6c8b-11de-8226-b8a03c50a862	AU	2023-03-27T06:48:40.914Z								COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY		true	false	2498550	2498550	1	44	207	540	7346	2498549		2498550	Pyrostremma spinosum	Pyrostremma spinosum (Herdman, 1888)	Pyrostremma spinosum		DWC_ARCHIVE	2023-03-27T06:48:40.914Z	2023-03-27T05:32:44.082Z	false		AUS	Australia	AUS.9_1	Tasmania	AUS.9.27_1	Tasman			NE	
3860508235																										121204385										CC_BY_NC_4_0			2022-12-12T07:42:27Z			https://www.inaturalist.org/observations/121204385					Sylvain Le Bris												iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				https://www.inaturalist.org/observations/121204385	121204385		Sylvain Le Bris													PRESENT																			2016-07-04T14:07:00	14:07:00+00:00			2016	7	4	2016/07/04 14:07											EUROPE				PT	Azores				Horta, Açores, Portugal								38.516829	-28.627127	645.0																															268882859				Sylvain Le Bris		2022-06-11T08:40:56				370954								Pyrostremma spinosum (Herdman, 1888)								Animalia	Chordata	Thaliacea	Pyrosomatida	Pyrosomatidae		Pyrostremma	Pyrostremma			spinosum			SPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2023-03-29T14:24:32.746Z								COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES	StillImage	true	false	2498550	2498550	1	44	207	540	7346	2498549		2498550	Pyrostremma spinosum	Pyrostremma spinosum (Herdman, 1888)	Pyrostremma spinosum		DWC_ARCHIVE	2023-03-29T14:24:32.746Z	2023-03-28T11:22:53.478Z	true										NE	
3849181272																										38d3a524-e39f-46da-af62-37d94d1ecdbe										CC_BY_4_0																						C3DF8966-A775-654C-E053-5514A8C0FA8B					HUMAN_OBSERVATION				38d3a524-e39f-46da-af62-37d94d1ecdbe			GIRAUDEAU Patrick (FFESSM)													PRESENT																38d3a524-e39f-46da-af62-37d94d1ecdbe																					NORTH_AMERICA				GP		Guadeloupe (mer territoriale)											16.16611	-61.78972	13.0					POINT(-61.78972222 16)																														GIRAUDEAU Patrick (FFESSM)				Invalid		930873								Pyrostremma spinosum (Herdman, 1888)			Pyrostremma spinosum (Herdman, 1888)	Gargominy O (2021). TAXREF. Version 4.7. UMS PatriNat (OFB-CNRS-MNHN), Paris. Checklist dataset https://doi.org/10.15468/vqueam accessed via GBIF.org on 2021-06-28.				Animalia	Chordata	Thaliacea	Pyrosomatida	Pyrosomatidae		Pyrostremma	Pyrostremma			spinosum			SPECIES				ACCEPTED			8e9974a4-12e2-475f-9aec-5abdf24a1f50	FR	2023-01-25T07:31:25.229Z			46.0	0.0				FOOTPRINT_WKT_MISMATCH;COUNTRY_MISMATCH;CONTINENT_DERIVED_FROM_COORDINATES;RECORDED_DATE_INVALID		true	false	2498550	2498550	1	44	207	540	7346	2498549		2498550	Pyrostremma spinosum	Pyrostremma spinosum (Herdman, 1888)	Pyrostremma spinosum (Herdman, 1888)		DWC_ARCHIVE	2023-01-25T07:31:25.229Z	2023-01-07T09:45:48.044Z	true										NE	
3456264104																										91149146										CC_BY_NC_4_0			2021-12-07T18:06:32Z			https://www.inaturalist.org/observations/91149146					Susanne Spindler												iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				https://www.inaturalist.org/observations/91149146	91149146		Susanne Spindler													PRESENT																			2017-12-28T15:40:00	15:40:00Z			2017	12	28	2017/12/28 3:40 PM											AFRICA				ES	Islas Canarias				C. Acatife, 1, 35510 Puerto del Carmen, Las Palmas, Spanien								28.917594	-13.665929	98.0																															199512254				Dennis Rabeling		2021-08-15T15:35:18				370954								Pyrostremma spinosum (Herdman, 1888)								Animalia	Chordata	Thaliacea	Pyrosomatida	Pyrosomatidae		Pyrostremma	Pyrostremma			spinosum			SPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2023-03-29T14:22:00.956Z								COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES	StillImage	true	false	2498550	2498550	1	44	207	540	7346	2498549		2498550	Pyrostremma spinosum	Pyrostremma spinosum (Herdman, 1888)	Pyrostremma spinosum		DWC_ARCHIVE	2023-03-29T14:22:00.956Z	2023-03-28T11:22:53.478Z	true										NE	
3407953969																										99960046										CC_BY_NC_4_0			2021-11-01T12:13:13Z			https://www.inaturalist.org/observations/99960046					Susanne Spindler												iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				https://www.inaturalist.org/observations/99960046	99960046		Susanne Spindler													PRESENT																			2020-12-18T13:24:00	13:24:00Z			2020	12	18	2020/12/18 1:24 PM CET											AFRICA				ES	Islas Canarias				Puerto del Carmen, Provinz Las Palmas, Spanien								28.918208	-13.664598	122.0																															217835860				Susanne Spindler		2021-11-01T08:51:47				370954								Pyrostremma spinosum (Herdman, 1888)								Animalia	Chordata	Thaliacea	Pyrosomatida	Pyrosomatidae		Pyrostremma	Pyrostremma			spinosum			SPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2023-03-29T14:22:48.502Z								COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES	StillImage	true	false	2498550	2498550	1	44	207	540	7346	2498549		2498550	Pyrostremma spinosum	Pyrostremma spinosum (Herdman, 1888)	Pyrostremma spinosum		DWC_ARCHIVE	2023-03-29T14:22:48.502Z	2023-03-28T11:22:53.478Z	true										NE	
3400752312																										03CC87DB057FFFEAFF6CAAB1FED5FAA3.mc.3B0D3C90057FFFEAFE7EA995FC4AFD0C										CC0_1_0						http://treatment.plazi.org/id/03CC87DB057FFFEAFF6CAAB1FED5FAA3																		MDAFWU			MATERIAL_CITATION				03CC87DB057FFFEAFF6CAAB1FED5FAA3.mc.3B0D3C90057FFFEAFE7EA995FC4AFD0C	MDAFWU 2017				1											PRESENT																			2017-03-01T00:00:00				2017	3																																																																									03CC87DB057FFFEAFF6CAAB1FED5FAA3.taxon								Pyrostremma spinosum (Herdman, 1888)								Animalia	Chordata	Thaliacea	Pyrosomatida	Pyrosomatidae		Pyrostremma	Pyrostremma			spinosum			SPECIES				ACCEPTED			9b8d33b9-c9df-4f9d-abeb-de1c7b84f3e0	CH	2023-01-25T07:54:07.766Z								OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT		false	false	2498550	2498550	1	44	207	540	7346	2498549		2498550	Pyrostremma spinosum	Pyrostremma spinosum (Herdman, 1888)	Pyrostremma spinosum (Herdman, 1888)		DWC_ARCHIVE	2023-01-25T07:54:07.766Z	2023-01-04T17:49:02.890Z											NE	
