Species,Citation,Category,Map_key,Year,Mon,Lat_N,Lon_E
Pyrosoma_atlanticum,Drits_etal_1992,Pelagic,P1,1990,8,-6.05,5.17
Pyrosoma_atlanticum,Drits_etal_1992,Pelagic,P1,1990,10,-6.05,5.17
Pyrosoma_atlanticum,Perissinotto_etal_2007,Pelagic,P2,1999,2,-44.8,63
Pyrosoma_atlanticum,Williams_Koslow_1997,Pelagic,P3,1992,2,-44,147
Pyrosoma_atlanticum,Henschke_etal_2019,Pelagic,P4,2017,9,34,153
Pyrosoma_atlanticum,Pitt_etal_2021,Pelagic,P4,2019,9,-27.5,154
Pyrosoma_atlanticum,Kuo_etal_2015,Pelagic,P5,2013,8,21.9,120.5
Pyrostremma_spinosum,Decima_etal_2019,Pelagic,P6,2010,6,8.5,-90
Pyrosoma_atlanticum,Lavaniegos_Ohman_2003,Pelagic,P7,1951,4,33,-120
Pyrosoma_atlanticum,Miller_etal_2019,Pelagic,P7,2013,5,36,-124
Pyrosoma_aherniosum,Lavaniegos_Ohman_2003,Pelagic,P8,1951,4,33,-120
Pyrosoma_atlanticum,Sutherland_etal_2018,Pelagic,P9,2017,5,44.65,-128
Pyrosoma_atlanticum,Schram_etal_2020,Pelagic,P9,2017,5,42,-128
Pyrosoma_atlanticum,Lyle_etal_2022,Pelagic,P9,2018,2,45,-128
Pyrosoma_atlanticum,OLoughlin_etal_2020,Pelagic,P9,2018,2,43,-128
Pyrosoma_atlanticum,Thompson_etal_2021,Pelagic,P9,2018,7,44.65,-126
Pyrosoma_atlanticum,Guerrerro_etal_2016,Pelagic,P10,1991,NaN,41,2
Pyrosoma_atlanticum,Palma_Apablaza_2004,Pelagic,P11,1994,12,-33,-72
Pyrosoma_atlanticum,Stenvers_etal_2021,Pelagic,P12,2018,2,16,-25
Pyrosoma_atlanticum,Stenvers_etal_2021,Pelagic,P12,2019,2,16,-25
Pyrosoma_atlanticum,Angel_Pugh_2000,Pelagic,P13,1981,2,35,-22
Pyrosoma_atlanticum,Andersen_etal_1992,Pelagic,P14,1990,4,43.5,7.8
Pyrosoma_atlanticum,Andersen_Sardou_1994,Pelagic,P14,1991,4,43.5,7.8
Pyrosoma_atlanticum,Huxley_1851,Pelagic,P15,1850,6,-45.9,-110.3
Pyrosoma_atlanticum,Tobena_Escanez_2013,Pelagic,P16,2009,6,27.5,-17
Pyrosoma_atlanticum,Lebrato_Jones_2009,Benthic,B1,2006,2,3,-4
Pyrosoma_atlanticum,Archer_etal_2018,Benthic,B2,2016,9,29,-88.15
Pyrosoma_atlanticum,Archer_etal_2018,Benthic,B3,2017,6,52,-129
Pyrosoma_atlanticum,Hurley_McKnight_1959,Benthic,B4,1952,10,41.3,174.5
Pyrosoma_atlanticum,Guerrero_etal_2016,Benthic,B5,1991,NaN,41,2
Pyrosoma_atlanticum,Lebrato_etal_2013,Benthic,B6,1994,4,38,4
Pyrosomella_verticillata,Carvalho_Bonecker_2008,Colony_ind,C1,NaN,NaN,-40.6,-22.7
Pyrosomella_verticillata,Miller_etal_2019,Colony_ind,C2,2019,7,36,-124
Pyrosoma_spp,Perrault_2019,Colony_ind,C3,2010,7,36.8,-122
Pyrostremma_spinosum,Grace_1971,Colony_ind,C4,1969,10,-35.47,174.7
Pyrostremma_spinosum,Griffin_Yaldwyn_1970,Colony_ind,C5,1967,6,-33.87,151.21
Pyrosoma_atlanticum,Nagabushanam_1960,Colony_ind,C6,1960,2,20,87
Pyrostremma_spinosum,Marimuthu_etal_2021,Colony_ind,C7,2018,2,10.9,72.3
Pyrostremma_spinosum,Gauns_etal_2015,Colony_ind,C8,2007,9,15.99,62
Pyrosoma_atlanticum,Silva_2003,Colony_ind,C9,2003,5,17.3,101.1
Pyrosoma_atlanticum,Osborne_Hubbard_2018,Colony_ind,C10,2016,6,41.7,70.62
Pyrosoma_atlanticum,Richoux_Froneman_2009,Colony_ind,C11,2007,4,-40,40
Pyrosoma_atlanticum,Roe_etal_1990,Colony_ind,C12,1985,6,31.3,-25.4
