Species,Citation,Map_key,Category,Year,Density_lower_col_m3,Density_upper_col_m3,Lat_N,Lon_E,Depth_mid_day,Depth_mid_night,Depth_mid_notime,Depth_min_benth,Depth_max_benth
Pyrosoma_atlanticum,Drits_etal_1992,P1,Low,1990,0.3,0.8,-6.05,5.17,150,5,NaN,NaN,NaN
Pyrosoma_atlanticum,Drits_etal_1992,P1,High,1990,9.5,41,-6.05,5.17,15,5,NaN,NaN,NaN
Pyrosoma_atlanticum,Stenvers_etal_2021,P12,Low,2018,NaN,0.64,16,-25,359,46,NaN,NaN,NaN
Pyrosoma_atlanticum,Stenvers_etal_2021,P12,High,2019,NaN,9.3,16,-25,359,46,NaN,NaN,NaN
Pyrosoma_atlanticum,Sutherland_etal_2018,P9,Low,2017,NaN,3,44.65,-128,NaN,NaN,50,NaN,NaN
Pyrosoma_atlanticum,Schram_etal_2020,P9,Low,2017,NaN,5,42,-128,NaN,NaN,NaN,NaN,NaN
Pyrosoma_atlanticum,Lyle_etal_2022,P9,Low,2018,3.00E-04,0.07,45,-128,37,19,NaN,NaN,NaN
Pyrosoma_atlanticum,Oloughlin_etal_2020,P9,Low,2018,0.07,0.7,43,-128,NaN,NaN,NaN,NaN,NaN
Pyrosoma_atlanticum,Pitt_etal_2021,P4,Low,2019,0.02,0.25,-27.5,154,NaN,NaN,NaN,NaN,NaN
Pyrosoma_atlanticum,Lebrato_Jones_2009,B1,Benthic,2006,0.2,200,3,-4,NaN,NaN,NaN,26,1250
Pyrosoma_atlanticum,Kuo_etal_2015,P5,Benthic,2013,NaN,150,21.9,120.5,NaN,NaN,NaN,0,10
Pyrosoma_atlanticum,Lebrato_etal_2013,B6,Benthic,2005,0.03,116,38,4,NaN,NaN,NaN,50,800
Pyrosoma_atlanticum,Tobena_Escanez_2013,P16,Depth_only,2009,NaN,NaN,27.5,-17,NaN,NaN,570,NaN,NaN
Pyrosoma_atlanticum,Angel_Pugh_2000,P13,Depth_only,1981,NaN,NaN,35,-22,600,50,NaN,NaN,NaN
Pyrosoma_atlanticum,Andersen_etal_1992,P14,Depth_only,1990,NaN,NaN,43.5,7.8,555,40,NaN,NaN,NaN
Pyrosoma_atlanticum,Andersen_Sardou_1994,P14,Depth_only,1991,NaN,NaN,43.5,7.8,350,50,NaN,NaN,NaN
Pyrosoma_atlanticum,Miller_etal_2019,P7,Depth_only,2013,NaN,NaN,36,-124,30,NaN,NaN,NaN,NaN
Pyrosoma_atlanticum,Thompson_etal_2021,P9,Depth_only,2018,NaN,NaN,44.65,-126,NaN,NaN,65,NaN,NaN
Pyrosoma_atlanticum,Henschke_etal_2019,P4,Depth_only,2017,NaN,NaN,34,153,343,121,NaN,NaN,NaN
Pyrosoma_atlanticum,Nagabushanam_1960,C6,Depth_only,1960,NaN,NaN,20,87,NaN,NaN,130,NaN,NaN
