sppnmsvar,Species,Year,Month,Lat,Lon,Chla_mg_m3
Pyrosoma_spp,"Pyrosomatidae",1960,2,-13.533,67.833,-1.24756836891174
Pyrosoma_spp,"Pyrosomatidae",1960,12,-33,71.217,-1.23775553703308
Pyrosoma_spp,"Pyrosomatidae",1962,1,0.067,91.617,-0.945616185665131
Pyrosoma_spp,"Pyrosomatidae",1962,4,-38.167,30.283,-0.497409820556641
Pyrosoma_spp,"Pyrosomatidae",1962,7,-21.75,108.417,-0.77004462480545
Pyrosoma_spp,"Pyrosomatidae",1962,7,-18.733,110.567,-0.827401876449585
Pyrosoma_spp,"Pyrosomatidae",1962,7,-0.05,76.933,-0.926757454872131
Pyrosoma_spp,"Pyrosomatidae",1962,7,0.017,78.983,-0.924748599529266
Pyrosoma_spp,"Pyrosomatidae",1962,7,0.15,68.983,-0.999316811561584
Pyrosoma_spp,"Pyrosomatidae",1962,8,-32.583,94.25,-0.806470572948456
Pyrosoma_spp,"Pyrosomatidae",1962,8,-32,112,-0.72170215845108
Pyrosoma_spp,"Pyrosomatidae",1962,8,-27.5,110,-0.724368214607239
Pyrosoma_spp,"Pyrosomatidae",1962,8,-26.033,91.633,-1.11720013618469
Pyrosoma_spp,"Pyrosomatidae",1962,8,-26,110,-0.711299002170563
Pyrosoma_spp,"Pyrosomatidae",1962,8,-24.5,110,-0.748158693313599
Pyrosoma_spp,"Pyrosomatidae",1962,8,-23,110,-0.728870749473572
Pyrosoma_spp,"Pyrosomatidae",1962,8,-21.75,109.967,-0.764228880405426
Pyrosoma_spp,"Pyrosomatidae",1962,8,-20,110,-0.818559408187866
Pyrosoma_spp,"Pyrosomatidae",1962,8,-18.5,110,-0.852850079536438
Pyrosoma_spp,"Pyrosomatidae",1962,8,-15.55,109.967,-0.786258220672607
Pyrosoma_spp,"Pyrosomatidae",1962,8,-11.65,105,-0.70726615190506
Pyrosoma_spp,"Pyrosomatidae",1962,8,-9.967,91.533,-0.914615333080292
Pyrosoma_spp,"Pyrosomatidae",1962,8,-9.5,110,-0.524810612201691
Pyrosoma_spp,"Pyrosomatidae",1962,8,-8.183,91.45,-0.973729729652405
Pyrosoma_spp,"Pyrosomatidae",1962,8,-4.75,95,-1.01923549175262
Pyrosoma_spp,"Pyrosomatidae",1962,8,-3,53,-0.567697584629059
Pyrosoma_spp,"Pyrosomatidae",1962,8,-2.5,53,-0.577530264854431
Pyrosoma_spp,"Pyrosomatidae",1962,8,-2.483,62.333,-0.896916508674622
Pyrosoma_spp,"Pyrosomatidae",1962,8,-1,53,-0.549304842948914
