sppnmsvar,Species,Year,Month,Lat,Lon,Temp_C
Pyrosoma_spp,"Pyrosomatidae",1960,2,-13.533,67.833,28.57107
Pyrosoma_spp,"Pyrosomatidae",1960,12,-33,71.217,19.77525
Pyrosoma_spp,"Pyrosomatidae",1962,1,0.067,91.617,28.98932
Pyrosoma_spp,"Pyrosomatidae",1962,4,-38.167,30.283,20.29235
Pyrosoma_spp,"Pyrosomatidae",1962,7,-21.75,108.417,23.35298
Pyrosoma_spp,"Pyrosomatidae",1962,7,-18.733,110.567,25.12946
Pyrosoma_spp,"Pyrosomatidae",1962,7,-0.05,76.933,29.30131
Pyrosoma_spp,"Pyrosomatidae",1962,7,0.017,78.983,29.24476
Pyrosoma_spp,"Pyrosomatidae",1962,7,0.15,68.983,29.2326
Pyrosoma_spp,"Pyrosomatidae",1962,8,-32.583,94.25,15.38908
Pyrosoma_spp,"Pyrosomatidae",1962,8,-32,112,18.43023
Pyrosoma_spp,"Pyrosomatidae",1962,8,-27.5,110,20.4145
Pyrosoma_spp,"Pyrosomatidae",1962,8,-26.033,91.633,19.65735
Pyrosoma_spp,"Pyrosomatidae",1962,8,-26,110,21.0085
Pyrosoma_spp,"Pyrosomatidae",1962,8,-24.5,110,21.64188
Pyrosoma_spp,"Pyrosomatidae",1962,8,-23,110,22.33169
Pyrosoma_spp,"Pyrosomatidae",1962,8,-21.75,109.967,23.1394
Pyrosoma_spp,"Pyrosomatidae",1962,8,-20,110,23.90466
Pyrosoma_spp,"Pyrosomatidae",1962,8,-18.5,110,24.47622
Pyrosoma_spp,"Pyrosomatidae",1962,8,-15.55,109.967,25.57524
Pyrosoma_spp,"Pyrosomatidae",1962,8,-11.65,105,26.30352
Pyrosoma_spp,"Pyrosomatidae",1962,8,-9.967,91.533,27.299
Pyrosoma_spp,"Pyrosomatidae",1962,8,-9.5,110,26.01525
Pyrosoma_spp,"Pyrosomatidae",1962,8,-8.183,91.45,27.69246
Pyrosoma_spp,"Pyrosomatidae",1962,8,-4.75,95,28.51268
Pyrosoma_spp,"Pyrosomatidae",1962,8,-3,53,26.41205
Pyrosoma_spp,"Pyrosomatidae",1962,8,-2.5,53,26.53909
Pyrosoma_spp,"Pyrosomatidae",1962,8,-2.483,62.333,28.47422
Pyrosoma_spp,"Pyrosomatidae",1962,8,-1,53,26.90081
Pyrosoma_spp,"Pyrosomatidae",1962,8,0.483,52.967,26.88572
Pyrosoma_spp,"Pyrosomatidae",1962,8,0.483,62.317,28.82885
Pyrosoma_spp,"Pyrosomatidae",1962,8,0.917,79.067,28.8671
Pyrosoma_spp,"Pyrosomatidae",1962,8,1,53,26.75914
Pyrosoma_spp,"Pyrosomatidae",1962,8,4,62.317,28.61563
Pyrosoma_spp,"Pyrosomatidae",1962,8,9,104.967,NaN
Pyrosoma_spp,"Pyrosomatidae",1962,9,-6.067,91.4,27.94738
Pyrosoma_spp,"Pyrosomatidae",1962,9,-5,79,28.43489
Pyrosoma_spp,"Pyrosomatidae",1962,9,-2.5,78.983,28.78116
Pyrosoma_spp,"Pyrosomatidae",1962,9,-1.917,78.9,28.8197
Pyrosoma_spp,"Pyrosomatidae",1962,9,-1.45,78.95,28.82548
Pyrosoma_spp,"Pyrosomatidae",1962,9,-0.517,91.633,28.96742
Pyrosoma_spp,"Pyrosomatidae",1962,9,-0.5,79.033,28.82797
Pyrosoma_spp,"Pyrosomatidae",1962,9,0.033,79.067,28.86745
Pyrosoma_spp,"Pyrosomatidae",1962,9,0.467,91.533,28.99948
Pyrosoma_spp,"Pyrosomatidae",1962,9,2.017,88.967,28.81878
Pyrosoma_spp,"Pyrosomatidae",1962,9,4.133,91.533,28.75419
Pyrosoma_spp,"Pyrosomatidae",1962,9,5.583,79.933,27.97679
Pyrosoma_spp,"Pyrosomatidae",1962,9,6.117,91.533,28.47219
Pyrosoma_spp,"Pyrosomatidae",1962,9,7.133,91.517,28.36176
Pyrosoma_spp,"Pyrosomatidae",1962,10,-37.667,25.1,18.01834
Pyrosoma_spp,"Pyrosomatidae",1962,10,-36.533,23.1,19.65022
Pyrosoma_spp,"Pyrosomatidae",1962,10,-34.083,32.667,19.33137
Pyrosoma_spp,"Pyrosomatidae",1962,10,-23,110,22.27526
Pyrosoma_spp,"Pyrosomatidae",1962,10,-12.033,76.983,26.55951
Pyrosoma_spp,"Pyrosomatidae",1962,10,-10.033,77,27.32287
Pyrosoma_spp,"Pyrosomatidae",1962,10,-9.1,76.917,27.69384
Pyrosoma_spp,"Pyrosomatidae",1962,10,-8.083,77.083,28.02326
Pyrosoma_spp,"Pyrosomatidae",1962,10,-7.017,76.967,28.24484
Pyrosoma_spp,"Pyrosomatidae",1962,10,-5.917,84.05,28.30658
Pyrosoma_spp,"Pyrosomatidae",1962,10,-5.25,77.033,28.51367
Pyrosoma_spp,"Pyrosomatidae",1962,10,-4.983,83.967,28.50727
Pyrosoma_spp,"Pyrosomatidae",1962,10,-3.983,77,28.69105
Pyrosoma_spp,"Pyrosomatidae",1962,10,-3.967,83.95,28.62373
Pyrosoma_spp,"Pyrosomatidae",1962,10,-2.983,76.967,28.73487
Pyrosoma_spp,"Pyrosomatidae",1962,10,1.333,84.1,28.66664
Pyrosoma_spp,"Pyrosomatidae",1962,10,3,77.017,28.58908
Pyrosoma_spp,"Pyrosomatidae",1962,10,3.017,84,28.45817
Pyrosoma_spp,"Pyrosomatidae",1962,11,-0.583,93.95,28.62337
Pyrosoma_spp,"Pyrosomatidae",1962,11,0.95,94.017,28.6474
Pyrosoma_spp,"Pyrosomatidae",1962,11,1.617,94.017,28.62497
Pyrosoma_spp,"Pyrosomatidae",1962,11,2.383,94.033,28.66247
Pyrosoma_spp,"Pyrosomatidae",1962,11,3,94,28.698
Pyrosoma_spp,"Pyrosomatidae",1962,11,12,55,27.38024
Pyrosoma_spp,"Pyrosomatidae",1962,11,12.833,69.333,28.68408
Pyrosoma_spp,"Pyrosomatidae",1962,12,-23.55,110.417,23.464
Pyrosoma_spp,"Pyrosomatidae",1962,12,-21.2,109.267,24.32907
Pyrosoma_spp,"Pyrosomatidae",1962,12,-7.25,78.217,28.53457
Pyrosoma_spp,"Pyrosomatidae",1962,12,-5,78.167,28.47771
Pyrosoma_spp,"Pyrosomatidae",1962,12,-5,93.883,28.62319
Pyrosoma_spp,"Pyrosomatidae",1962,12,-3.917,94,28.67616
Pyrosoma_spp,"Pyrosomatidae",1962,12,-2.817,78.017,28.5136
Pyrosoma_spp,"Pyrosomatidae",1962,12,-1.983,78.017,28.50644
Pyrosoma_spp,"Pyrosomatidae",1962,12,-1.483,93.967,28.72512
Pyrosoma_spp,"Pyrosomatidae",1962,12,0.133,78.033,28.55723
Pyrosoma_spp,"Pyrosomatidae",1962,12,0.233,90.283,28.76042
Pyrosoma_spp,"Pyrosomatidae",1962,12,1,78.05,28.55381
Pyrosoma_spp,"Pyrosomatidae",1962,12,1.95,77.783,28.53797
Pyrosoma_spp,"Pyrosomatidae",1962,12,7.65,78.15,27.83895
Pyrosoma_spp,"Pyrosomatidae",1962,12,10,66,28.21651
Pyrosoma_spp,"Pyrosomatidae",1963,1,-38.7,30.8,20.43686
Pyrosoma_spp,"Pyrosomatidae",1963,1,-37.25,28.983,21.73539
Pyrosoma_spp,"Pyrosomatidae",1963,1,-32.75,29.033,25.01022
Pyrosoma_spp,"Pyrosomatidae",1963,1,-31.783,34.15,24.4752
Pyrosoma_spp,"Pyrosomatidae",1963,1,-29,110,21.54683
Pyrosoma_spp,"Pyrosomatidae",1963,1,-21.5,110,25.07738
Pyrosoma_spp,"Pyrosomatidae",1963,1,-18.5,110,26.45008
Pyrosoma_spp,"Pyrosomatidae",1963,1,-11.467,113.75,28.85089
Pyrosoma_spp,"Pyrosomatidae",1963,1,-10.117,107.783,28.57949
Pyrosoma_spp,"Pyrosomatidae",1963,1,-1.5,63,28.63791
Pyrosoma_spp,"Pyrosomatidae",1963,1,-1.5,64,28.62606
Pyrosoma_spp,"Pyrosomatidae",1963,1,-1.5,66,28.59442
Pyrosoma_spp,"Pyrosomatidae",1963,1,-1.5,67,28.57916
Pyrosoma_spp,"Pyrosomatidae",1963,1,-0.817,61.967,28.576
Pyrosoma_spp,"Pyrosomatidae",1963,1,1.7,65,28.36078
Pyrosoma_spp,"Pyrosomatidae",1963,1,2.533,66,28.39544
Pyrosoma_spp,"Pyrosomatidae",1963,1,4,68,28.40823
Pyrosoma_spp,"Pyrosomatidae",1963,1,7,71.683,28.47687
Pyrosoma_spp,"Pyrosomatidae",1963,2,-17,110,27.73025
Pyrosoma_spp,"Pyrosomatidae",1963,2,0,80,29.10314
Pyrosoma_spp,"Pyrosomatidae",1963,2,0,83,29.1709
Pyrosoma_spp,"Pyrosomatidae",1963,2,3,83,28.87691
Pyrosoma_spp,"Pyrosomatidae",1963,2,7,83,27.98511
Pyrosoma_spp,"Pyrosomatidae",1963,2,8.5,88,28.08163
Pyrosoma_spp,"Pyrosomatidae",1963,2,8.5,89,28.13483
Pyrosoma_spp,"Pyrosomatidae",1963,2,8.5,92,28.16489
Pyrosoma_spp,"Pyrosomatidae",1963,2,9.55,91.883,28.06133
Pyrosoma_spp,"Pyrosomatidae",1963,2,10.667,94.8,28.1425
Pyrosoma_spp,"Pyrosomatidae",1963,2,13.05,50,25.68181
Pyrosoma_spp,"Pyrosomatidae",1963,3,-27.5,110,23.51921
Pyrosoma_spp,"Pyrosomatidae",1963,3,3.5,-14.98,29.27171
Pyrosoma_spp,"Pyrosomatidae",1963,3,7.45,94.35,29.12845
Pyrosoma_spp,"Pyrosomatidae",1963,3,7.45,95.3,29.15594
Pyrosoma_spp,"Pyrosomatidae",1963,3,7.517,96.183,29.17123
Pyrosoma_spp,"Pyrosomatidae",1963,3,10.617,92.983,28.81542
Pyrosoma_spp,"Pyrosomatidae",1963,3,10.617,97.567,28.87687
Pyrosoma_spp,"Pyrosomatidae",1963,3,11.5,95,28.88143
Pyrosoma_spp,"Pyrosomatidae",1963,3,12.867,94.217,28.56753
Pyrosoma_spp,"Pyrosomatidae",1963,3,13.333,87.417,28.24036
Pyrosoma_spp,"Pyrosomatidae",1963,3,13.583,84,28.22654
Pyrosoma_spp,"Pyrosomatidae",1963,3,14.983,89.767,27.80348
Pyrosoma_spp,"Pyrosomatidae",1963,3,16.5,83.5,28.14847
Pyrosoma_spp,"Pyrosomatidae",1963,4,-21.5,110,26.69412
Pyrosoma_spp,"Pyrosomatidae",1963,4,-18.5,110,27.89413
Pyrosoma_spp,"Pyrosomatidae",1963,4,-11,110,28.97021
Pyrosoma_spp,"Pyrosomatidae",1963,4,-8.917,105,29.00293
Pyrosoma_spp,"Pyrosomatidae",1963,4,12.933,92.167,29.64331
Pyrosoma_spp,"Pyrosomatidae",1963,4,13.267,91.567,29.63818
Pyrosoma_spp,"Pyrosomatidae",1963,4,13.717,85.783,29.75904
Pyrosoma_spp,"Pyrosomatidae",1963,4,13.833,92.283,29.49032
Pyrosoma_spp,"Pyrosomatidae",1963,4,14.033,90.133,29.66259
Pyrosoma_spp,"Pyrosomatidae",1963,4,14.383,89.383,29.66392
Pyrosoma_spp,"Pyrosomatidae",1963,4,14.967,91.283,29.46898
